index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
171,"['V23', 'V12', 'V10', 'V18', 'V11', 'V13', 'V5', 'V22']",8,1,-71.63105209926395,0.9532578988247017,"(0.36641221374045796,)","(0.2891566265060241,)","(0.5,)",0.9317433967083963,"(0.3113636363636364,)","(0.2459605026929982,)","(0.4241486068111455,)"
172,"['V14', 'V23', 'V7', 'V11', 'V5', 'V22', 'V1', 'V28']",8,4,-31.53861900753134,0.9608711421788447,"(0.47887323943661975,)","(0.4358974358974359,)","(0.53125,)",0.9589544593051755,"(0.4182825484764543,)","(0.37844611528822053,)","(0.4674922600619195,)"
173,"['V8', 'V10', 'V18', 'V9', 'V6', 'V28', 'V3']",7,1,-175.5584378003141,0.9246589143878777,"(0.3005780346820809,)","(0.33766233766233766,)","(0.2708333333333333,)",0.9159559350621369,"(0.2458100558659218,)","(0.308411214953271,)","(0.2043343653250774,)"
174,"['V23', 'V19', 'V17', 'V20', 'V13', 'V9', 'V28']",7,2,-42.66504767536691,0.9617647058823529,"(0.4444444444444444,)","(0.45161290322580644,)","(0.4375,)",0.9492563358631123,"(0.359621451104101,)","(0.3665594855305466,)","(0.35294117647058826,)"
175,"['V8', 'V7', 'V4', 'V20', 'V6', 'V3', 'V24', 'V26']",8,1,-279.6180591107803,0.9214517570854949,"(0.20833333333333334,)","(0.3125,)","(0.15625,)",0.9096488745830739,"(0.11111111111111112,)","(0.22018348623853212,)","(0.07430340557275542,)"
176,"['V2', 'V4', 'V18', 'V11', 'V13', 'V22', 'V17']",7,6,-31.588033789330822,0.9671433072481608,"(0.6187845303867403,)","(0.6588235294117647,)","(0.5833333333333334,)",0.9603189594470148,"(0.574750830564784,)","(0.6200716845878136,)","(0.5356037151702786,)"
177,"['V8', 'V2', 'V14', 'V12', 'V4', 'V17', 'V3']",7,7,-32.82644557910027,0.9752194525044695,"(0.49789029535864987,)","(0.41843971631205673,)","(0.6145833333333334,)",0.9638881740467443,"(0.4698162729658793,)","(0.40774487471526194,)","(0.5541795665634675,)"
178,"['V23', 'V7', 'V11', 'V13', 'V5', 'V27', 'V22']",7,1,-95.21730716018278,0.9263788138573815,"(0.1937984496124031,)","(0.15432098765432098,)","(0.2604166666666667,)",0.9024768555743579,"(0.1598119858989424,)","(0.12878787878787878,)","(0.21052631578947367,)"
179,"['V15', 'V16', 'V10', 'V4', 'V19', 'V1', 'V17']",7,7,-27.318247738026486,0.9840986693631114,"(0.6229508196721311,)","(0.6551724137931034,)","(0.59375,)",0.9633710082553364,"(0.561014263074485,)","(0.5746753246753247,)","(0.5479876160990712,)"
180,"['V2', 'V14', 'V25', 'V23', 'V10', 'V12', 'V26']",7,3,-35.49954071634062,0.9739355271256485,"(0.5742574257425742,)","(0.5471698113207547,)","(0.6041666666666666,)",0.9545627383337274,"(0.47197640117994105,)","(0.4507042253521127,)","(0.4953560371517028,)"
181,"['V2', 'V15', 'V23', 'V4', 'V17', 'V24', 'V26']",7,7,-24.60603761442367,0.9676389987983236,"(0.5268817204301075,)","(0.5444444444444444,)","(0.5104166666666666,)",0.9495867389644451,"(0.48217317487266553,)","(0.5338345864661654,)","(0.43962848297213625,)"
182,"['V10', 'V7', 'V18', 'V11', 'V6', 'V27', 'V28']",7,3,-33.62049625683211,0.9300406298543333,"(0.38222222222222224,)","(0.3333333333333333,)","(0.4479166666666667,)",0.9258908624712084,"(0.34002677376171353,)","(0.29952830188679247,)","(0.3931888544891641,)"
183,"['V25', 'V10', 'V12', 'V7', 'V4', 'V18', 'V5', 'V17']",8,6,-47.89529584222491,0.9731940048067059,"(0.6956521739130435,)","(0.7272727272727273,)","(0.6666666666666666,)",0.9588187430733583,"(0.6107382550335569,)","(0.6666666666666666,)","(0.5634674922600619,)"
